start,size,total_stores,zero_values,max_value,min_value,stack_trace
0x7fbb680,320130,14746,0,3.23786e-319,5e-324,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x1D8FF3: newlist (ComputeNonbondedUtil.h:51) ==319==    by 0x1D8FF3: ComputeNonbondedUtil::calc_self_energy(nonbonded*) (ComputeNonbondedBase.h:1099) ==319==    by 0x10B7C5: SelfCompute::doWork(PatchList*) (Compute.C:61) ==319==    by 0x10CAF8: ComputeList::runComputes(PatchList*) (ComputeList.C:72) ==319==    by 0x10AA13: main (spec_namd.C:189)
0x8092680,320130,6566,0,3.23786e-319,5e-324,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x1D8FF3: newlist (ComputeNonbondedUtil.h:51) ==319==    by 0x1D8FF3: ComputeNonbondedUtil::calc_self_energy(nonbonded*) (ComputeNonbondedBase.h:1099) ==319==    by 0x10B7C5: SelfCompute::doWork(PatchList*) (Compute.C:61) ==319==    by 0x10CAF8: ComputeList::runComputes(PatchList*) (ComputeList.C:72) ==319==    by 0x10AA13: main (spec_namd.C:189)
0x83f7900,320130,14191,0,3.23786e-319,5e-324,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x1D8FF3: newlist (ComputeNonbondedUtil.h:51) ==319==    by 0x1D8FF3: ComputeNonbondedUtil::calc_self_energy(nonbonded*) (ComputeNonbondedBase.h:1099) ==319==    by 0x10B7C5: SelfCompute::doWork(PatchList*) (Compute.C:61) ==319==    by 0x10CAF8: ComputeList::runComputes(PatchList*) (ComputeList.C:72) ==319==    by 0x10AA13: main (spec_namd.C:189)
0x84d4330,320130,12311,0,3.23786e-319,5e-324,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x1D8FF3: newlist (ComputeNonbondedUtil.h:51) ==319==    by 0x1D8FF3: ComputeNonbondedUtil::calc_self_energy(nonbonded*) (ComputeNonbondedBase.h:1099) ==319==    by 0x10B7C5: SelfCompute::doWork(PatchList*) (Compute.C:61) ==319==    by 0x10CAF8: ComputeList::runComputes(PatchList*) (ComputeList.C:72) ==319==    by 0x10AA13: main (spec_namd.C:189)
0x87bb680,320130,28776,0,3.23786e-319,5e-324,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x1D8FF3: newlist (ComputeNonbondedUtil.h:51) ==319==    by 0x1D8FF3: ComputeNonbondedUtil::calc_self_energy(nonbonded*) (ComputeNonbondedBase.h:1099) ==319==    by 0x10B7C5: SelfCompute::doWork(PatchList*) (Compute.C:61) ==319==    by 0x10CAF8: ComputeList::runComputes(PatchList*) (ComputeList.C:72) ==319==    by 0x10AA13: main (spec_namd.C:189)
0x889cfa0,320130,70050,25,3.23786e-319,0,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x1D8FF3: newlist (ComputeNonbondedUtil.h:51) ==319==    by 0x1D8FF3: ComputeNonbondedUtil::calc_self_energy(nonbonded*) (ComputeNonbondedBase.h:1099) ==319==    by 0x10B7C5: SelfCompute::doWork(PatchList*) (Compute.C:61) ==319==    by 0x10CAF8: ComputeList::runComputes(PatchList*) (ComputeList.C:72) ==319==    by 0x10AA13: main (spec_namd.C:189)
0x8948680,320130,11542,0,3.23786e-319,5e-324,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x1D8FF3: newlist (ComputeNonbondedUtil.h:51) ==319==    by 0x1D8FF3: ComputeNonbondedUtil::calc_self_energy(nonbonded*) (ComputeNonbondedBase.h:1099) ==319==    by 0x10B7C5: SelfCompute::doWork(PatchList*) (Compute.C:61) ==319==    by 0x10CAF8: ComputeList::runComputes(PatchList*) (ComputeList.C:72) ==319==    by 0x10AA13: main (spec_namd.C:189)
0x8bbb680,320130,10054,0,3.23786e-319,5e-324,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x1D8FF3: newlist (ComputeNonbondedUtil.h:51) ==319==    by 0x1D8FF3: ComputeNonbondedUtil::calc_self_energy(nonbonded*) (ComputeNonbondedBase.h:1099) ==319==    by 0x10B7C5: SelfCompute::doWork(PatchList*) (Compute.C:61) ==319==    by 0x10CAF8: ComputeList::runComputes(PatchList*) (ComputeList.C:72) ==319==    by 0x10AA13: main (spec_namd.C:189)
0x8c09950,320130,17567,0,3.23786e-319,5e-324,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x1D8FF3: newlist (ComputeNonbondedUtil.h:51) ==319==    by 0x1D8FF3: ComputeNonbondedUtil::calc_self_energy(nonbonded*) (ComputeNonbondedBase.h:1099) ==319==    by 0x10B7C5: SelfCompute::doWork(PatchList*) (Compute.C:61) ==319==    by 0x10CAF8: ComputeList::runComputes(PatchList*) (ComputeList.C:72) ==319==    by 0x10AA13: main (spec_namd.C:189)
0x8c7a830,320130,6214,0,3.23786e-319,5e-324,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x1D8FF3: newlist (ComputeNonbondedUtil.h:51) ==319==    by 0x1D8FF3: ComputeNonbondedUtil::calc_self_energy(nonbonded*) (ComputeNonbondedBase.h:1099) ==319==    by 0x10B7C5: SelfCompute::doWork(PatchList*) (Compute.C:61) ==319==    by 0x10CAF8: ComputeList::runComputes(PatchList*) (ComputeList.C:72) ==319==    by 0x10AA13: main (spec_namd.C:189)
0x8cee1d0,320130,12303,0,3.23786e-319,5e-324,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x1D8FF3: newlist (ComputeNonbondedUtil.h:51) ==319==    by 0x1D8FF3: ComputeNonbondedUtil::calc_self_energy(nonbonded*) (ComputeNonbondedBase.h:1099) ==319==    by 0x10B7C5: SelfCompute::doWork(PatchList*) (Compute.C:61) ==319==    by 0x10CAF8: ComputeList::runComputes(PatchList*) (ComputeList.C:72) ==319==    by 0x10AA13: main (spec_namd.C:189)
0x9053220,320130,18803,0,3.23786e-319,5e-324,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x1D8FF3: newlist (ComputeNonbondedUtil.h:51) ==319==    by 0x1D8FF3: ComputeNonbondedUtil::calc_self_energy(nonbonded*) (ComputeNonbondedBase.h:1099) ==319==    by 0x10B7C5: SelfCompute::doWork(PatchList*) (Compute.C:61) ==319==    by 0x10CAF8: ComputeList::runComputes(PatchList*) (ComputeList.C:72) ==319==    by 0x10AA13: main (spec_namd.C:189)
0x9137aa0,320130,13024,0,3.23786e-319,5e-324,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x1D8FF3: newlist (ComputeNonbondedUtil.h:51) ==319==    by 0x1D8FF3: ComputeNonbondedUtil::calc_self_energy(nonbonded*) (ComputeNonbondedBase.h:1099) ==319==    by 0x10B7C5: SelfCompute::doWork(PatchList*) (Compute.C:61) ==319==    by 0x10CAF8: ComputeList::runComputes(PatchList*) (ComputeList.C:72) ==319==    by 0x10AA13: main (spec_namd.C:189)
0x9226d50,320130,15997,0,3.23786e-319,5e-324,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x1D8FF3: newlist (ComputeNonbondedUtil.h:51) ==319==    by 0x1D8FF3: ComputeNonbondedUtil::calc_self_energy(nonbonded*) (ComputeNonbondedBase.h:1099) ==319==    by 0x10B7C5: SelfCompute::doWork(PatchList*) (Compute.C:61) ==319==    by 0x10CAF8: ComputeList::runComputes(PatchList*) (ComputeList.C:72) ==319==    by 0x10AA13: main (spec_namd.C:189)
0x9297c30,320130,10395,0,3.23786e-319,5e-324,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x1D8FF3: newlist (ComputeNonbondedUtil.h:51) ==319==    by 0x1D8FF3: ComputeNonbondedUtil::calc_self_energy(nonbonded*) (ComputeNonbondedBase.h:1099) ==319==    by 0x10B7C5: SelfCompute::doWork(PatchList*) (Compute.C:61) ==319==    by 0x10CAF8: ComputeList::runComputes(PatchList*) (ComputeList.C:72) ==319==    by 0x10AA13: main (spec_namd.C:189)
0x930b5d0,320130,19269,0,3.23786e-319,5e-324,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x1D8FF3: newlist (ComputeNonbondedUtil.h:51) ==319==    by 0x1D8FF3: ComputeNonbondedUtil::calc_self_energy(nonbonded*) (ComputeNonbondedBase.h:1099) ==319==    by 0x10B7C5: SelfCompute::doWork(PatchList*) (Compute.C:61) ==319==    by 0x10CAF8: ComputeList::runComputes(PatchList*) (ComputeList.C:72) ==319==    by 0x10AA13: main (spec_namd.C:189)
0x937c4b0,320130,10781,0,3.23786e-319,5e-324,==319==    at 0x483E743: operator new[](unsigned long) (vg_replace_malloc.c:729) ==319==    by 0x1D8FF3: newlist (ComputeNonbondedUtil.h:51) ==319==    by 0x1D8FF3: ComputeNonbondedUtil::calc_self_energy(nonbonded*) (ComputeNonbondedBase.h:1099) ==319==    by 0x10B7C5: SelfCompute::doWork(PatchList*) (Compute.C:61) ==319==    by 0x10CAF8: ComputeList::runComputes(PatchList*) (ComputeList.C:72) ==319==    by 0x10AA13: main (spec_namd.C:189)
